Gene	Symbol	Mock.no4sU.A Readcount	Mock.1h.A Readcount	Mock.2h.A Readcount	Mock.2h.B Readcount	Mock.3h.A Readcount	Mock.4h.A Readcount	SARS.no4sU.A Readcount	SARS.1h.A Readcount	SARS.2h.A Readcount	SARS.2h.B Readcount	SARS.3h.A Readcount	SARS.4h.A Readcount	Mock.1h.A 0.05 quantile	Mock.1h.A Mean	Mock.1h.A MAP	Mock.1h.A 0.95 quantile	Mock.2h.A 0.05 quantile	Mock.2h.A Mean	Mock.2h.A MAP	Mock.2h.A 0.95 quantile	Mock.2h.B 0.05 quantile	Mock.2h.B Mean	Mock.2h.B MAP	Mock.2h.B 0.95 quantile	Mock.3h.A 0.05 quantile	Mock.3h.A Mean	Mock.3h.A MAP	Mock.3h.A 0.95 quantile	Mock.4h.A 0.05 quantile	Mock.4h.A Mean	Mock.4h.A MAP	Mock.4h.A 0.95 quantile	SARS.1h.A 0.05 quantile	SARS.1h.A Mean	SARS.1h.A MAP	SARS.1h.A 0.95 quantile	SARS.2h.A 0.05 quantile	SARS.2h.A Mean	SARS.2h.A MAP	SARS.2h.A 0.95 quantile	SARS.2h.B 0.05 quantile	SARS.2h.B Mean	SARS.2h.B MAP	SARS.2h.B 0.95 quantile	SARS.3h.A 0.05 quantile	SARS.3h.A Mean	SARS.3h.A MAP	SARS.3h.A 0.95 quantile	SARS.4h.A 0.05 quantile	SARS.4h.A Mean	SARS.4h.A MAP	SARS.4h.A 0.95 quantile	Mock.1h.A alpha	Mock.1h.A beta	Mock.2h.A alpha	Mock.2h.A beta	Mock.2h.B alpha	Mock.2h.B beta	Mock.3h.A alpha	Mock.3h.A beta	Mock.4h.A alpha	Mock.4h.A beta	SARS.1h.A alpha	SARS.1h.A beta	SARS.2h.A alpha	SARS.2h.A beta	SARS.2h.B alpha	SARS.2h.B beta	SARS.3h.A alpha	SARS.3h.A beta	SARS.4h.A alpha	SARS.4h.A beta	Length
ENSG00000177954	RPS27	587.7357	5532.2357	4730.854	5300.1452	7009.6159	6514.0941	225.7333	2123.3333	2261.9929	3276.5429	911.1667	983.4262	0.0168	0.0221	0.0217	0.0281	0.0442	0.0517	0.0514	0.0596	0.0394	0.046	0.0457	0.053	0.0567	0.0633	0.0631	0.0702	0.0929	0.101	0.1008	0.1093	0.0143	0.0227	0.0216	0.0328	0.0699	0.0839	0.0831	0.0988	0.0592	0.0699	0.0693	0.0813	0.1047	0.1306	0.1288	0.1584	0.1034	0.1276	0.1261	0.1536	40.3343	1781.9643	115.5765	2119.4032	117.3606	2432.9449	223.8106	3311.4826	366.8495	3265.4914	15.7109	675.1168	83.2348	909.2554	100.0617	1331.3189	55.2771	368.0815	60.9396	416.5573	625
ENSG00000135829	DHX9	699	6008.6667	4571.5	5676.8333	8855.6667	7376.9167	186	1947.3333	1942.1667	2716.6667	906.6667	1151.6667	0.0388	0.045	0.0448	0.0516	0.115	0.1251	0.1248	0.1355	0.1101	0.1188	0.1186	0.1277	0.1543	0.1623	0.1621	0.1703	0.2114	0.2209	0.2208	0.2305	0.0648	0.0788	0.078	0.0939	0.2714	0.2943	0.2938	0.3175	0.2779	0.2974	0.297	0.3172	0.3317	0.3676	0.3667	0.4039	0.3757	0.4076	0.4071	0.4397	127.8514	2709.7955	351.9555	2461.4294	432.5575	3209.758	935.4746	4829.9454	1120.3413	3952.0756	73.0089	853.2132	311.1343	746.2716	434.6904	1027.0451	177.2419	305.0519	259.8549	377.7345	4240
ENSG00000121774	KHDRBS1	566.5	6008.5	5480.5	4513.25	8208.5	7104	133	1283	1482	1487.1667	669	807	0.0142	0.0191	0.0187	0.0245	0.0846	0.0937	0.0934	0.1031	0.088	0.0975	0.0972	0.1074	0.1267	0.1349	0.1347	0.1433	0.167	0.1766	0.1764	0.1864	0.0315	0.0458	0.0442	0.0622	0.2515	0.2805	0.2796	0.3102	0.2312	0.2582	0.2573	0.2858	0.2871	0.333	0.3312	0.3801	0.3678	0.4105	0.4095	0.4536	35.9843	1849.7563	250.2907	2421.532	245.1751	2269.1009	612.6018	3928.2433	742.5592	3462.0984	22.776	474.4079	177.8959	456.3949	179.3646	515.4948	92.1501	184.6473	145.5409	209.0519	2757
ENSG00000142949	PTPRF	1307.5	17294.8333	15349	11662.8333	21781.3333	18762.5	278	3350.3333	3789	3365.5	1854.5	2426.5	0.0023	0.0038	0.0036	0.0056	0.0528	0.0573	0.0572	0.0619	0.0463	0.051	0.0509	0.056	0.0904	0.0949	0.0948	0.0995	0.1276	0.1331	0.133	0.1386	0.0052	0.0098	0.009	0.0156	0.2099	0.2269	0.2265	0.2443	0.157	0.173	0.1725	0.1895	0.3678	0.3976	0.397	0.4275	0.469	0.496	0.4957	0.5229	13.7373	3613.6943	405.9117	6676.3762	283.2786	5267.1806	1072.7069	10228.7857	1386.5419	9033.4768	9.3492	939.2327	363.8314	1239.6367	253.2204	1210.6346	288.4117	437.1193	460.5817	468.0665	7727
ENSG00000162522	KIAA1522	719	8866.5	7592.2	5818	10888.25	8844	264	3849.5	4726	4836	2067.5	2259	0.0567	0.0634	0.0632	0.0704	0.2741	0.2866	0.2864	0.2992	0.2238	0.2367	0.2364	0.2497	0.3576	0.3685	0.3684	0.3794	0.5101	0.523	0.5229	0.5359	0.0687	0.08	0.0795	0.0921	0.3619	0.3804	0.3801	0.399	0.3095	0.3267	0.3264	0.3441	0.4256	0.4548	0.4543	0.4839	0.5884	0.6181	0.6179	0.6471	217.2126	3208.3601	1005.4461	2502.9631	684.8231	2209.0561	1935.2959	3316.9653	2120.0003	1933.6173	116.3667	1337.2445	703.242	1145.6957	650.3638	1340.401	358.4902	429.9343	457.5336	282.8417	5438
ENSG00000117335	CD46	719	6617.5	4605.6667	6725.3333	10077.3333	7699.3333	140.5	1587.8333	1329	2101.8333	740.5	864	0.0206	0.0251	0.0248	0.0299	0.1003	0.1096	0.1093	0.1191	0.1096	0.1174	0.1172	0.1253	0.1553	0.1626	0.1625	0.1699	0.2342	0.2436	0.2435	0.2531	0.0408	0.0531	0.0521	0.0667	0.2489	0.275	0.2743	0.3017	0.2887	0.3102	0.3098	0.3319	0.3058	0.3429	0.3418	0.3806	0.3954	0.4316	0.431	0.468	77.606	3016.5446	330.0095	2682.1307	536.3005	4033.1018	1120.1428	5770.342	1357.9512	4215.7874	42.7312	761.7264	212.4451	560.1626	384.9787	856.3713	148.9198	285.5117	216.9245	285.7299	7826
ENSG00000143641	GALNT2	507.5	6296.5	5063	4141	8017.5	6758	114.5	1339	1511	1521	690	848	0.0462	0.0533	0.053	0.0609	0.1302	0.1411	0.1409	0.1524	0.1134	0.1245	0.1242	0.1361	0.1719	0.1813	0.1812	0.1909	0.2557	0.2673	0.2671	0.279	0.0605	0.0786	0.0772	0.0986	0.2519	0.2799	0.2791	0.3085	0.2083	0.234	0.2331	0.2605	0.3561	0.4027	0.4014	0.4498	0.4132	0.4561	0.4552	0.499	134.089	2381.0226	376.4953	2291.361	284.7748	2002.163	808.9395	3651.8793	1044.9327	2864.9592	42.2705	495.0811	190.7849	490.9851	166.1858	544.136	119.119	176.7762	165.8651	197.9269	4454
ENSG00000142937	RPS8	1137.3333	11184.1	11331.95	10531.3762	16223.75	15212.4929	265.75	2901.85	3533.8	4068.4167	1339.9	1682.9167	0.0295	0.0341	0.0339	0.039	0.052	0.0571	0.0569	0.0624	0.0513	0.0565	0.0564	0.062	0.089	0.0942	0.0941	0.0995	0.1098	0.1155	0.1154	0.1213	0.0466	0.0581	0.0573	0.0705	0.1202	0.134	0.1335	0.1483	0.1265	0.1399	0.1395	0.1537	0.1743	0.2008	0.1997	0.2285	0.1661	0.1883	0.1875	0.2115	132.913	3762.6532	307.7679	5081.9195	285.3915	4763.6812	794.0295	7637.576	974.4359	7463.4956	60.3747	979.2813	212.0986	1370.8813	245.48	1509.2977	118.661	472.213	151.1434	651.3956	1115
ENSG00000142910	TINAGL1	782.5	10317	9832.5	7132	12786.6667	10555	280	2365.25	3891.8333	3439	1658.5	1941	0.094	0.1019	0.1017	0.11	0.2564	0.2676	0.2675	0.2789	0.231	0.2432	0.243	0.2556	0.3074	0.3173	0.3172	0.3273	0.3917	0.4031	0.403	0.4146	0.2369	0.2618	0.2611	0.2873	0.6258	0.6511	0.6509	0.6758	0.5504	0.5765	0.5763	0.6023	0.6962	0.735	0.7348	0.7718	0.7685	0.8034	0.8034	0.836	393.6909	3469.7486	1125.2428	3079.702	798.9555	2486.0374	1890.3797	4067.2908	2004.8114	2968.5085	215.0468	606.4563	639.4861	342.8852	565.5475	415.5015	270.0875	97.5286	300.938	73.7544	4759
ENSG00000162909	CAPN2	840	9320	8321.5	7562	12054.5	10511.5	168.5	2497	2576	3072.5	1088.5	1240	0.0123	0.0158	0.0156	0.0198	0.0939	0.1016	0.1014	0.1095	0.0843	0.0915	0.0913	0.0991	0.1376	0.1448	0.1447	0.152	0.1911	0.1996	0.1995	0.2082	0.0137	0.0212	0.0202	0.03	0.1901	0.2097	0.2091	0.2298	0.2067	0.2247	0.2242	0.2431	0.2545	0.2879	0.2868	0.3223	0.3675	0.4021	0.4014	0.437	46.7234	2900.8624	412.4455	3647.5035	375.2961	3724.2853	933.6992	5515.6089	1189.7682	4771.1507	17.5467	810.412	237.4252	895.0041	318.9271	1100.5928	138.5096	342.5627	216.0246	321.3056	4130
ENSG00000143756	FBXO28	171.6667	1465	984.5	1396	2047.5	1507.5	103	460	484	690	296	331	0.0827	0.1005	0.0995	0.1196	0.5263	0.5656	0.5653	0.6043	0.4817	0.5108	0.5106	0.5398	0.7161	0.741	0.7411	0.7651	0.8717	0.8974	0.8979	0.9205	0.1655	0.2082	0.2054	0.2537	0.8211	0.8865	0.8873	0.9377	0.7146	0.7622	0.7625	0.8065	0.8851	0.9586	0.9646	0.9901	0.9738	1	1	0.9995	72.2284	646.2163	247.1696	189.9389	409.6973	392.4237	640.4128	223.9361	373.8568	42.8618	47.5156	180.7461	69.7592	9.0689	176.3714	55.1319	39.8466	2.1153	115.7601	1.0426	5451
ENSG00000159377	PSMB4	386.5	5241.5	4228	4041	7764	6086.5	104	1222	1308.5	1538.5	668	880.5	0.0242	0.0298	0.0295	0.0359	0.0704	0.0791	0.0788	0.0883	0.0751	0.0841	0.0838	0.0936	0.0933	0.1004	0.1002	0.1076	0.1395	0.1486	0.1484	0.1579	0.0448	0.0607	0.0593	0.0786	0.2104	0.2367	0.2358	0.2638	0.2281	0.2533	0.2525	0.2791	0.2419	0.2808	0.2792	0.321	0.3019	0.3373	0.3363	0.3733	67.6816	2202.6124	193.4324	2250.4085	204.1107	2221.5929	479.444	4296.0061	599.9661	3437.8654	32.7204	505.6649	161.8073	521.9794	199.6106	588.6093	97.8316	250.6853	159.5371	313.5916	2067
ENSG00000143375	CGN	187.5	2635.5	2173	1826	2925	2393	104	699.5	1205	1142	447.5	624	0.0599	0.0729	0.0721	0.087	0.3447	0.3713	0.3708	0.3981	0.3355	0.3633	0.3627	0.3914	0.4815	0.5054	0.5052	0.5292	0.6461	0.6731	0.673	0.6994	0.0836	0.1149	0.1119	0.1497	0.6999	0.747	0.7468	0.7911	0.6082	0.6538	0.6534	0.6978	0.8121	0.8935	0.8942	0.952	0.9215	0.9825	0.9913	0.9957	72.1734	917.3471	328.6505	556.5382	290.9743	510.0738	599.2671	586.5821	563.7747	273.98	28.7564	221.4971	182.8391	62.0315	199.1257	105.5379	45.7816	5.6169	50.0915	1.6237	5091
ENSG00000143367	TUFT1	84	987	905	963	1595	1040	109	320	919.3333	941.5	559.5	704.5	0.198	0.229	0.2277	0.2614	0.7873	0.8297	0.83	0.8681	0.7217	0.7604	0.7606	0.7969	0.834	0.8629	0.8632	0.8893	0.9253	0.9606	0.961	0.9834	0.3313	0.4004	0.3974	0.4707	0.9634	1	1	0.9989	0.9651	1	1	0.999	0.9555	1	1	0.9988	0.9848	1	1	0.9997	108.5181	365.3304	193.4237	39.8157	264.6344	83.4967	359.2235	57.2071	116.5147	5.03	53.1228	79.6387	90.941	1.2126	95.6962	1.2192	73.3281	1.1816	199.0778	1.0305	3111
ENSG00000162601	MYSM1	95	615.5	410.5	679	878	656	109	363.5	405	798.5	256	337.5	0.0965	0.1244	0.1223	0.1548	0.5816	0.6374	0.6374	0.6912	0.6205	0.6629	0.663	0.7039	0.8002	0.8351	0.8356	0.8671	0.8723	0.9082	0.9094	0.9385	0.0536	0.0847	0.0807	0.1213	0.6178	0.679	0.6789	0.7369	0.6494	0.6919	0.6919	0.7328	0.8277	0.904	0.9063	0.9582	0.9183	0.9802	0.9876	0.9953	42.9298	302.0353	132.0954	75.2197	230.0295	117.0663	276.5654	54.7364	185.1803	18.8273	15.3012	165.1089	112.2205	53.1547	228.8724	101.9954	48.4902	5.3004	48.9927	1.6737	7793
ENSG00000177606	JUN	177	3015.5	4204.5	2622.5	4280.3333	2709.5	921	1229	6694.5	5164.5	3686	5739	0.6196	0.6536	0.6532	0.6867	0.9104	0.9385	0.9385	0.9612	0.878	0.912	0.9121	0.9405	0.8909	0.9166	0.9167	0.939	0.8895	0.9196	0.9197	0.9449	0.6872	0.745	0.7442	0.7982	0.9944	1	1	0.9999	0.9948	1	1	0.9999	0.9946	1	1	0.9999	0.9971	1	1	0.9999	355.0373	188.2706	225.8821	14.9697	201.6071	19.6024	325.8422	29.7842	238.1874	20.9876	123.6294	42.4603	539.9799	1.0211	584.9599	1.0177	554.3428	1.014	1046.5784	1.0083	3540
ENSG00000143761	ARF1	927.5	12397.6667	10543.6667	8813.1667	17384.1667	14715.0833	195	2104	2706.6667	2576.8333	1210.5	1663	0.0343	0.0387	0.0386	0.0434	0.1311	0.1386	0.1385	0.1462	0.1182	0.1259	0.1258	0.1338	0.1874	0.1939	0.1938	0.2005	0.2599	0.2677	0.2677	0.2756	0.0841	0.1002	0.0993	0.1173	0.3371	0.3599	0.3595	0.3828	0.3288	0.3521	0.3517	0.3756	0.397	0.4329	0.4322	0.4689	0.5182	0.55	0.5497	0.5814	189.8671	4711.6774	784.0246	4872.1998	616.894	4282.5543	1927.058	8011.0591	2329.0242	6370.3819	88.3646	793.8382	430.0667	765.1521	395.4434	727.7777	222.5238	291.6331	367.976	301.2037	2006
ENSG00000143774	GUK1	322.5	4667.8333	4347	2905.3333	5678.5	5294.6667	101	926.5	1342	1327.3333	619.5	783.5	0.0336	0.0413	0.0408	0.0496	0.1267	0.1391	0.1388	0.1519	0.1223	0.1373	0.1367	0.1529	0.1729	0.185	0.1847	0.1972	0.2064	0.2193	0.2191	0.2324	0.0736	0.0995	0.0971	0.1282	0.3429	0.3787	0.3778	0.4149	0.2697	0.3031	0.3019	0.3372	0.4974	0.5578	0.5564	0.6167	0.5248	0.5776	0.5766	0.629	68.8574	1599.8899	283.2592	1752.878	188.1589	1182.4994	511.8524	2255.5588	602.3745	2144.7298	32.1028	290.4531	185.6911	304.7747	151.5432	348.6468	104.1767	82.7223	139.9194	102.4605	2548
ENSG00000184007	PTP4A2	450.5	4056.5	3024.5	4104.8333	7125.3333	5353.6667	104.5	1088.3333	912.5	1386	509	672.5	0.0339	0.0411	0.0407	0.0489	0.1279	0.1408	0.1404	0.1541	0.1127	0.1228	0.1226	0.1333	0.1842	0.1934	0.1933	0.2028	0.2679	0.2798	0.2797	0.2918	0.0424	0.058	0.0565	0.0755	0.2341	0.2658	0.2647	0.2984	0.1904	0.2133	0.2126	0.2369	0.2309	0.2719	0.2702	0.3145	0.3513	0.3912	0.3903	0.4316	78.3219	1825.4912	268.1458	1636.322	338.8343	2419.4006	936.0734	3903.4343	1065.5172	2742.8658	30.9103	502.041	135.7341	375.0474	178.4367	658.1998	83.1072	222.57	156.1901	243.1066	3353
ENSG00000163435	ELF3	280	5182.1667	3416	2796.5	4096.5	3410	604	3376.5	5583.5	5603.5	2454	2812.5	0.3689	0.3872	0.3869	0.4056	0.8381	0.8623	0.8624	0.8847	0.7826	0.8081	0.8081	0.8322	0.8906	0.9115	0.9116	0.9302	0.9235	0.9448	0.9449	0.9625	0.5448	0.5715	0.5713	0.598	0.989	1	1	0.9998	0.9887	1	1	0.9998	0.9915	1	1	0.9998	0.9943	1	1	0.9999	737.0455	1166.7331	509.5092	81.4941	549.5849	130.6403	505.3649	49.2368	349.9207	20.6181	534.8601	401.1014	286.5836	1.0935	281.168	1.0979	358.9411	1.0287	529.2078	1.0141	4994
ENSG00000122406	RPL5	1175.5	9698.3167	8328.2278	9991.5417	13952.3333	13602.6167	283.3333	2788.0833	2883.0833	4286.4456	1224.1667	1578.0333	0.0131	0.0164	0.0162	0.0201	0.0556	0.0613	0.0611	0.0672	0.0537	0.0587	0.0586	0.0639	0.0863	0.0914	0.0913	0.0966	0.1235	0.1293	0.1292	0.1353	0.0271	0.0356	0.0349	0.0451	0.0976	0.1106	0.1101	0.1241	0.1077	0.1188	0.1185	0.1303	0.1164	0.1379	0.1367	0.1605	0.1605	0.1814	0.1806	0.2031	59.2685	3547.5565	280.7506	4298.4545	332.0669	5324.7894	765.4205	7608.7336	1135.0298	7641.4702	40.7479	1101.9925	167.5066	1347.1364	262.7434	1948.5815	90.8764	568.3721	160.558	724.536	1210
ENSG00000065978	YBX1	1640.8333	19532.95	19098.75	14297.7	24580.15	22821.2167	276.5	4643.0333	4816	4948.5	1680.5	2037.6667	0.006	0.0083	0.0081	0.0108	0.0369	0.0407	0.0406	0.0448	0.0305	0.0343	0.0341	0.0382	0.0498	0.0534	0.0533	0.0571	0.0723	0.0764	0.0764	0.0807	0.0084	0.0136	0.0129	0.0199	0.0682	0.0788	0.0783	0.09	0.0664	0.0761	0.0757	0.0862	0.0919	0.1116	0.1104	0.1327	0.1395	0.1603	0.1594	0.182	32.8108	3938.4237	273.94	6448.6578	204.8263	5774.2712	560.3834	9934.4866	817.3974	9875.1222	14.7255	1065.6609	130.1575	1521.4122	147.893	1796.0072	71.5533	569.5366	129.3557	677.7948	1524
ENSG00000065243	PKN2	230	1836	1287	1803.5	2279.5	1611.5	117	664	734.5	1097	369	407	0.0324	0.0429	0.042	0.0546	0.1742	0.1969	0.1961	0.2205	0.1816	0.2004	0.1999	0.2198	0.3148	0.335	0.3347	0.3554	0.4834	0.5095	0.5093	0.5354	0.0703	0.095	0.0927	0.1224	0.4074	0.45	0.4492	0.4927	0.3367	0.3685	0.3679	0.4008	0.5017	0.5644	0.5636	0.6258	0.7282	0.7877	0.7884	0.8413	38.3536	855.4579	157.0489	640.5884	238.1343	950.1738	490.6155	973.9604	508.5486	489.7085	32.3029	307.7935	165.2468	202.0758	225.7038	386.8039	96.9432	74.8903	110.6819	29.9405	6121
